Timestamp,Side,Price,Amount
1723662931663,sell,58753.99,0.05
1723662931780,buy,58754.0,0.03404
1723662932111,sell,58753.99,0.20843
1723662932111,sell,58753.99,0.39628
1723662932111,sell,58753.98,0.32505
1723662932111,sell,58753.97,0.0085
1723662932111,sell,58753.95,0.00076
1723662932112,sell,58752.98,0.01529
1723662932112,sell,58752.97,0.05839
1723662932113,sell,58752.0,0.00042
1723662932114,sell,58750.0,0.00351
1723662932114,sell,58748.12,0.02554
1723662932114,sell,58748.0,0.00177
1723662932114,sell,58746.02,0.00784
1723662932114,sell,58746.0,0.00485
1723662932114,sell,58746.0,0.02
1723662932114,sell,58746.0,0.06485
1723662932114,sell,58745.94,0.014
1723662932114,sell,58745.25,0.03675
1723662932114,sell,58744.14,0.00597
1723662932114,sell,58744.0,0.03843
1723662932114,sell,58744.0,0.05262
1723662932114,sell,58743.64,0.02738
1723662932135,sell,58746.01,9e-05
1723662932135,sell,58746.01,9e-05
1723662932135,sell,58746.01,9e-05
1723662932135,sell,58746.01,9e-05
1723662932135,sell,58746.01,9e-05
1723662932135,sell,58746.01,9e-05
1723662932135,sell,58746.01,9e-05
1723662932136,sell,58746.01,9e-05
1723662932136,sell,58746.01,9e-05
1723662932136,sell,58746.01,9e-05
1723662932136,sell,58746.01,9e-05
1723662932136,sell,58746.01,9e-05
1723662932136,sell,58746.01,9e-05
1723662932136,sell,58746.01,9e-05
1723662932170,sell,58743.25,0.0239
1723662932174,buy,58743.17,0.03561
1723662932201,sell,58742.0,9e-05
1723662932251,buy,58742.01,0.03624
1723662932320,buy,58742.01,0.03587
1723662932324,sell,58742.0,0.05
1723662932365,buy,58742.01,0.00025
1723662932382,buy,58742.01,0.03657
1723662932399,buy,58742.01,0.03506
1723662932425,buy,58742.0,0.00026
1723662932456,buy,58742.0,0.03668
1723662932546,buy,58742.0,0.03524
1723662932617,buy,58742.0,0.0362
1723662932688,buy,58742.0,0.03679
1723662932782,buy,58742.0,0.03594
1723662932832,buy,58742.0,0.0355
1723662932878,sell,58741.99,0.0235
1723662932878,sell,58741.99,0.50501
1723662932878,sell,58741.95,0.00094
1723662932879,sell,58740.74,0.00042
1723662932879,sell,58740.0,0.16451
1723662932881,sell,58737.02,0.00042
1723662932881,sell,58735.95,0.014
1723662932881,sell,58735.32,0.01
